market_side,timestamp_utc,price_yes_cents,price_no_cents,volume,taker_side,trade_id
SAM,2026-08-25T01:35:00.342848Z,8.0,92.0,1.0,no,0720ef69-cb51-b06d-5713-d50e1a9fa0f3
SAM,2026-08-25T01:38:34.708949Z,8.0,92.0,1.0,no,0720ef16-db91-a7f5-26ec-208c13ffac8f
SAM,2026-08-25T01:45:30.315173Z,8.0,92.0,1.0,no,0720ef30-3791-9361-b3ca-46c2497d820b
SAM,2026-08-25T14:56:03.123777Z,29.0,71.0,3.28,yes,0720dcc8-8671-ad71-38bb-3e31221efcc1
SAM,2026-08-27T20:46:20.109492Z,25.0,75.0,3.0,yes,07215710-9e81-8bfa-bf27-6c565055b720
SAM,2026-08-29T13:01:35.926835Z,29.0,71.0,0.32,yes,07217dce-9de9-b45a-089d-6e519edf8f9d
SAM,2026-08-29T15:33:35.420987Z,35.0,65.0,20.05,yes,ebd7c857-b699-bf0b-94ee-834a44fbac76
SAM,2026-08-29T15:33:35.420987Z,30.0,70.0,1.0,yes,bd2ef9d2-a1b0-bb21-8995-cf3271583fb3
SAM,2026-08-29T15:33:35.420987Z,33.0,67.0,1.0,yes,838196ec-61fb-b906-8004-23c322b0aca2
SAM,2026-08-29T15:33:35.420987Z,34.0,66.0,5.0,yes,072175e9-75b9-8f6c-b072-f7050a51d160
SAM,2026-08-29T15:33:35.420987Z,29.0,71.0,0.68,yes,07217321-c1e9-82aa-a4f5-6c2b95fe92a1
SAM,2026-08-29T23:15:17.748876Z,35.0,65.0,27.0,yes,ebd7cff0-7ad9-bef3-aea9-50e68de8c322
SAM,2026-08-29T23:52:16.713336Z,35.0,65.0,2.73,yes,ebd7cf09-8af9-b287-df54-7f73e86da81a
SAM,2026-08-30T03:38:57.107423Z,34.0,66.0,0.7,yes,07211241-a681-b42c-778d-af1f831c783e
SAM,2026-08-30T03:53:38.958781Z,34.0,66.0,5.62,yes,072113f8-5049-af84-10db-51d18c6e481e
SAM,2026-08-30T05:26:34.09133Z,22.0,78.0,1.07,yes,0721158d-7311-b42d-105d-0020e4dcbe9a
SAM,2026-08-30T05:30:04.758229Z,35.0,65.0,14.22,yes,ebd7b45c-f979-a417-2c94-de8072034336
SAM,2026-08-30T05:30:04.758229Z,36.0,64.0,34.13,yes,bbaa7428-d14b-a683-3da8-74efcd307b1d
SAM,2026-08-30T05:30:04.758229Z,23.0,77.0,1.0,yes,072115b0-8d19-9b46-3eb3-3961a58056fd
SAM,2026-08-30T05:46:17.723298Z,24.0,76.0,0.38,yes,072115e2-ca81-9ea1-2f66-43ba67dd6a23
SAM,2026-08-30T07:25:39.238203Z,22.0,78.0,1.0,yes,07211748-8e09-bf9b-484a-c9be1de986d4
SAM,2026-08-30T10:08:54.890989Z,30.0,70.0,2.6,yes,80c07a57-99c0-8fdb-bfac-2890d530778c
SAM,2026-08-30T10:08:54.890989Z,17.0,83.0,1.0,yes,07211a8a-7e51-beaa-93b3-63fa9f394f48
SAM,2026-08-30T16:37:15.973301Z,21.0,79.0,9.74,yes,07211d6c-1b79-9dcf-516b-4e6b5f94da1d
SAM,2026-08-30T16:37:15.973301Z,17.0,83.0,2.0,yes,07211d59-bf99-901a-5dc8-a15ce78f9814
SAM,2026-08-30T16:37:15.973301Z,17.0,83.0,2.66,yes,07211d59-abd1-940d-4fbb-04d0cd109f4f
SAM,2026-08-30T16:50:17.12385Z,17.0,83.0,3.33,yes,07211dc1-7819-b2c0-a788-2515b9f31a3a
SAM,2026-08-30T16:50:17.12385Z,21.0,79.0,6.31,yes,07211d1d-d639-b53f-b5e8-4fcd09ca6355
